stringKey,stringContent
NAME_GAME_NAME,Команда рассказывающая историю - Нэшвилл
NAME_AVATAR_1,Молн 1
NAME_AVATAR_2,Консильер
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Починк трэнсам
NAME_AVATAR_6,Молн 2
NAME_AVATAR_7,Молн 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Богиня солнца.
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,рюкзак
NAME_AVATAR_31,Блокнот.
NAME_AVATAR_32,Письмо {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,Письмо (NAME_AVATAR_33)
GOODS_NAME_1,Зондирующие парусиновые туфли
GOODS_NAME_2,Телескоп.
GOODS_NAME_3,парик
GOODS_NAME_4,парик
GOODS_NAME_5,парик
GOODS_NAME_6,парик
GOODS_NAME_7,Длинные волосы.
GOODS_NAME_8,Длинные волосы.
GOODS_NAME_9,Длинные волосы.
GOODS_NAME_10,Длинные волосы.
JOB_LOBBYIST,лоббист
NAME_1,Страна веселья.
PLAY_CHESS_NAME,игра
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} точка
SCENE_NAME_1_HOME,Дом {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Дом {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Дом {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} Внутренний двор дома
SCENE_NAME_CHORD_SQUARE,Корт.
SCENE_NAME_STAVE_AVENUE,Авеню спектра
SCENE_NAME_HALL_OF_MELODY,Мелодический дворец
SCENE_NAME_CLINKER_VALLEY,Звуковой каньон.
SCENE_NAME_CRACKING_VOICE_RIDGE,Сломанный хребет.
SCENE_NAME_PLAY_CHESS,игра
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} Дверь в дом
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Верс %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Загрузка
STARTGAMEPANEL_STARTGAME,Начинаем игру
STARTGAMEPANEL_CONTINUEGAME,Продолжайте игру
STARTGAMEPANEL_COMMONBUTTON31OPTION,вариант
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Выйти из игры
STARTGAMEPANEL_COMMONLABELARCHIVE,архивн
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Новая игра
STARTGAMEPANEL_ARCHIVE_CLEAR,удал
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Удалите файл для повторного подтверждения%s
PANEL_BUTTON_OK,увер
PANEL_BUTTON_CANCEL,отмен
PANEL_BUTTON_CLOSE,закр
OPTIONPANEL_COMMONLABEL31TITLE,Фаза интерфейса опций
OPTIONPANEL_COMMONBUTTONLANGUAGE,Выберите язык (Language)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,изображения:
OPTIONPANEL_COMMONLABELFULLSCREEN,Полный:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,Pастягива:
OPTIONPANEL_COMMONLABELMUSIC,Музыка:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Эффект звука:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,чип
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,Разрешение экрана
OPTIONPANEL_COMMONLABELLANGUAGE,Язык:
OPTIONPANEL_COMMONBUTTONDEFAULT,По умолчан
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Назад в холл.
OPTIONPANEL_COMMONBUTTONEXITGAME,Выйти из игры.
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Возвращайся в игру.
OPTIONPANEL_GENERAL,нормальн
OPTIONPANEL_KEYBOARD,кнопк
OPTIONPANEL_KEYBOARD_MOVE,Шаг:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (ил ← → ↓ ↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}:
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,Игра:
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P (щелчок левой клавиши мыши продолжается где угодно)
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,Выбирайте персонажа:
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,1，2，3，4，5，6，7，8，9，0
OPTIONPANEL_KEYBOARD_BAG,Рюкзак:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,Блокнот:
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,J（флип：PageUp，PageDown）
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Интерфейс опций:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_ABOUT,относится к
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Название игры: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Версия: %s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Описание: %s.
OPTIONPANEL_ABOUT_CONTACT,Контакт: %s
OPTIONPANEL_ABOUT_CONTACT_COPY,скопирова
OPTIONPANEL_ABOUT_THANKS,"Спасибо: благодаря моим родным, без их поддержки нет и игры. "
LANGUAGEPANEL_COMMONLABEL31TITLE,Выбирайте язык.
TIME_YEAR,год
TIME_MONTH,месяц
TIME_DAY,—
TIME_HOUR,когд
TIME_MINUTE,очк
TIME_SECOND,секунд
BOOTSCENE_STARTING_STRING1,Включаю.
BOOTSCENE_STARTING_STRING2,Включаю.
BOOTSCENE_STARTING_STRING3,Включаю...
BOOTSCENE_STARTING_STRING4,Включаю.
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,дней %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,Будет темно.
CURRENTSCENESHOWNAME_ENTER,Ввод %s.
JOURNALRECORDPANEL_COMMONLABEL31TITLE,{NAME_AVATAR_31}
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR,рол
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG,вещ
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE,мест
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK,Путешествова по
JOURNALRECORDPANEL_PLAY_CHESS_POINTS,Количество очков: от %s до %s.
DOWNPANEL_CONTROLWRANGLEDIALOG_COMMONBUTTONWRANGLEDIALOGCONTINUE,Продолжайте.
DOWNPANEL_WRANGLEDIALOGBUTTON_STRINGFLAG,:
UI_INPUT_ACTION_EVENT_TYPE_COMMONBUTTONITEM_TEXTUREBUTTON1_PRESSED_EVENT_IN_CD,Охлаждение.
AVATAR_CAN_NOT_MOVE,Не могу пошевелиться.
AVATAR_HAD_EQUIP,Уже ношу: %s.
AVATAR_HAD_EQUIP2,Надень.
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1,наступить
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK,поговор
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONPLAYCHESS1,{PLAY_CHESS_NAME}
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,использова
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,выброс
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,Выбросить %s?
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_YES,выброс
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_NO,остав
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13CHECK,провер
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,"Пепел исчезает, после того, как ты смотришь, ты горишь. "
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,Чисто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,Чисто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,Пуст.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,Пусто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,Пусто.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,"Пусто, пусто, пусто. "
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,"Пусто, пусто, пусто. "
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME} начинается
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME} Успех
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME} неудача
CHESSPANEL1_COMMONBUTTONCONTINUE,продолжа
CHESSPANEL1_MOUSECLICKCONTINUE,Нажмите на левую кнопку.
CHESSPANEL1_POINTS,%s от общего числа очков: %s.
SLOGAN_NEW_DAY_1,Начинается новый день.
SLOGAN_NEW_DAY_2,Начинается день приключений.
SLOGAN_NEW_DAY_3,Новый день.
SLOGAN_NEW_DAY_4,День приключений.
SLOGAN_NEW_DAY_5,Путь неблизкий.
SLOGAN_NEW_DAY_6,Путь далек и готов.
SLOGAN_NEW_DAY_7,Приготовиться.
