stringKey,stringContent
NAME_GAME_NAME,Uma equipa que conta uma história - O país da música
NAME_AVATAR_1,Relâmpago 1
NAME_AVATAR_2,Os comandantes
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Um raio
NAME_AVATAR_6,Relâmpago 2
NAME_AVATAR_7,Relâmpago 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Deusa do sol
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,A mochila.
NAME_AVATAR_31,Bloco de notas
NAME_AVATAR_32,A carta de {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,A carta de {NAME_AVATAR_33}
GOODS_NAME_1,Sapatilhas exploratórias
GOODS_NAME_2,telescópio
GOODS_NAME_3,Uma peruca
GOODS_NAME_4,Uma peruca
GOODS_NAME_5,Uma peruca
GOODS_NAME_6,Uma peruca
GOODS_NAME_7,Cabelo falso longo
GOODS_NAME_8,Cabelo falso longo
GOODS_NAME_9,Cabelo falso longo
GOODS_NAME_10,Cabelo falso longo
JOB_LOBBYIST,Os representantes de grupos de interesses
NAME_1,Terra da alegria
PLAY_CHESS_NAME,Se fica
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} pontos
SCENE_NAME_1_HOME,Início de {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Início de {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Início de {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} quintal da casa
SCENE_NAME_CHORD_SQUARE,Praça dos acordes
SCENE_NAME_STAVE_AVENUE,Avenida da pauta
SCENE_NAME_HALL_OF_MELODY,Salão da melodia
SCENE_NAME_CLINKER_VALLEY,Andar som canyon
SCENE_NAME_CRACKING_VOICE_RIDGE,Crista de som quebrado
SCENE_NAME_PLAY_CHESS,Se fica
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} portas de casa
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Carregar o jogo
STARTGAMEPANEL_STARTGAME,Iniciar o jogo
STARTGAMEPANEL_CONTINUEGAME,Continuar o jogo
STARTGAMEPANEL_COMMONBUTTON31OPTION,opções
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Sair do jogo
STARTGAMEPANEL_COMMONLABELARCHIVE,arquivos
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Um novo jogo
STARTGAMEPANEL_ARCHIVE_CLEAR,apagar
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Arquivo removido %s confirmação secundária
PANEL_BUTTON_OK,A certeza
PANEL_BUTTON_CANCEL,Cancelar
PANEL_BUTTON_CLOSE,Encerramento
OPTIONPANEL_COMMONLABEL31TITLE,Interface de opções
OPTIONPANEL_COMMONBUTTONLANGUAGE,Selecione o idioma (idioma)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,Imagem:
OPTIONPANEL_COMMONLABELFULLSCREEN,Tela cheia:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,Esticar a imagem:
OPTIONPANEL_COMMONLABELMUSIC,A música:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Efeitos sonoros:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,Resolução da tela
OPTIONPANEL_COMMONLABELLANGUAGE,Língua: inglês
OPTIONPANEL_COMMONBUTTONDEFAULT,Por omissão
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Voltar ao lobby
OPTIONPANEL_COMMONBUTTONEXITGAME,Sair do jogo
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Voltar ao jogo
OPTIONPANEL_GENERAL,Geral
OPTIONPANEL_KEYBOARD,Botão
OPTIONPANEL_KEYBOARD_MOVE,Em movimento:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (ou ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK} :
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,O jogo:
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P (Clique esquerdo do mouse para continuar)
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,Escolha uma função:
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,"1, 2, 3, 4, 5, 6, 7, 8, 9, 0 "
OPTIONPANEL_KEYBOARD_BAG,A mochila:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,O bloco de notas:
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,"J (virar página: PageUp, PageDown) "
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Interface de opções:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_ABOUT,Sobre
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Nome do jogo: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Versão: %s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Descrição: %s.
OPTIONPANEL_ABOUT_CONTACT,Ligação: %s.
OPTIONPANEL_ABOUT_CONTACT_COPY,reproduzir
OPTIONPANEL_ABOUT_THANKS,"Agradecimentos: às pessoas da minha família, sem o seu apoio, este jogo não teria sido possível. "
LANGUAGEPANEL_COMMONLABEL31TITLE,Escolha o idioma
TIME_YEAR,anos
TIME_MONTH,mês
TIME_DAY,De outubro
TIME_HOUR,quando
TIME_MINUTE,pontos
TIME_SECOND,Segundos.
BOOTSCENE_STARTING_STRING1,Início em curso
BOOTSCENE_STARTING_STRING2,A começar.
BOOTSCENE_STARTING_STRING3,Na iniciação..
BOOTSCENE_STARTING_STRING4,A começar...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,Dias %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,Está ficando escuro.
CURRENTSCENESHOWNAME_ENTER,Digite %s.
JOURNALRECORDPANEL_COMMONLABEL31TITLE,{NAME_AVATAR_31}
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR,Papel
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG,Objectos
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE,Lugar
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK,Viagens
JOURNALRECORDPANEL_PLAY_CHESS_POINTS,Pontos de jogo: %s a %s.
DOWNPANEL_CONTROLWRANGLEDIALOG_COMMONBUTTONWRANGLEDIALOGCONTINUE,Continua...
DOWNPANEL_WRANGLEDIALOGBUTTON_STRINGFLAG,:
UI_INPUT_ACTION_EVENT_TYPE_COMMONBUTTONITEM_TEXTUREBUTTON1_PRESSED_EVENT_IN_CD,Está a arrefecer.
AVATAR_CAN_NOT_MOVE,Não consigo mexer-me.
AVATAR_HAD_EQUIP,Já usado: %s.
AVATAR_HAD_EQUIP2,Já está vestida.
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1,Interacção
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK,Falar
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONPLAYCHESS1,{PLAY_CHESS_NAME}
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,utilização
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,lixo
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,Jogar fora %s?
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_YES,lixo
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_NO,guarde
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13CHECK,ver
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,Cinzento e queimar depois de ver.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,Está limpo.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,Está limpo.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,Vazio.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,Está vazio.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,Está vazio.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,"Vazio, vazio, vazio. "
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,"Vazio, vazio, vazio. "
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME} começa
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME} sucesso
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME} falha
CHESSPANEL1_COMMONBUTTONCONTINUE,Continuar a
CHESSPANEL1_MOUSECLICKCONTINUE,(clique com o botão esquerdo do mouse em qualquer lugar para continuar)
CHESSPANEL1_POINTS,%s pontos de jogo: %s.
SLOGAN_NEW_DAY_1,Um novo dia começa.
SLOGAN_NEW_DAY_2,Um dia de aventura começa.
SLOGAN_NEW_DAY_3,Um novo dia.
SLOGAN_NEW_DAY_4,Um dia de aventura.
SLOGAN_NEW_DAY_5,É um longo caminho.
SLOGAN_NEW_DAY_6,"Um longo caminho, pronto para ir. "
SLOGAN_NEW_DAY_7,Preparem-se para partir.
SLOGAN_NEW_DAY_8,Vamos embora.
SLOGAN_AVATAR_DEAD_1,A noite devora aqueles que não temem as trevas.
SLOGAN_AVATAR_DEAD_2,Está escuro e você é consumido pela noite.
NAVIGATIONMANAGER_NOT_VALID_PATH_END_POSITION,Destino inválido.
NAVIGATIONMANAGER_END_OBSTRUCTIONS_NEARBY,Pare a busca automática. Obstáculos nas proximidades.
GOODS_DESCRIPTION_1,"Com estes sapatos, pode andar automaticamente. "
GOODS_DESCRIPTION_2,"Olhe mais longe, especialmente em áreas mal iluminadas. "
GOODS_DESCRIPTION_3,Este deve ser {GOODS_NAME_3} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_4,Este deve ser {GOODS_NAME_4} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_5,Este deve ser {GOODS_NAME_5} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_6,Este deve ser {GOODS_NAME_6} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_7,Este deve ser {GOODS_NAME_7} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_8,Este deve ser {GOODS_NAME_8} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_9,Este deve ser {GOODS_NAME_9} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_10,Este deve ser {GOODS_NAME_10} de {JOB_LOBBYIST}.
GOODS_DESCRIPTION_11,"A mochila pode transportar muitos itens, uma viagem de aventura, uma ferramenta essencial para caminhadas. "
