stringKey,stringContent
NAME_GAME_NAME,Những nhóm nói chuyện và đi bộ - Quốc gia âm nhạc
NAME_AVATAR_1,Tia chớp 1
NAME_AVATAR_2,Quân sư
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,JiFeng
NAME_AVATAR_6,Tia chớp 2
NAME_AVATAR_7,Tia chớp 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Nữ thần mặt trời
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Ba lô
NAME_AVATAR_31,Sổ ghi chú
NAME_AVATAR_32,Thư của {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,Thư của {NAME_AVATAR_33}
GOODS_NAME_1,Giày dép tìm đường
GOODS_NAME_2,Kính viễn vọng
GOODS_NAME_3,Tóc giả
GOODS_NAME_4,Tóc giả
GOODS_NAME_5,Tóc giả
GOODS_NAME_6,Tóc giả
GOODS_NAME_7,Tóc dài
GOODS_NAME_8,Tóc dài
GOODS_NAME_9,Tóc dài
GOODS_NAME_10,Tóc dài
JOB_LOBBYIST,Thực hiện
NAME_1,Đất nước âm nhạc
PLAY_CHESS_NAME,Đấu cờ
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} điểm
SCENE_NAME_1_HOME,{NAME_AVATAR_1} ngôi nhà
SCENE_NAME_3_HOME,{NAME_AVATAR_3} ngôi nhà
SCENE_NAME_4_HOME,{NAME_AVATAR_4} ngôi nhà
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} sân nhà
SCENE_NAME_CHORD_SQUARE,Hòa âm plaza
SCENE_NAME_STAVE_AVENUE,Đại lộ ngũ quang phổ
SCENE_NAME_HALL_OF_MELODY,Melody hall
SCENE_NAME_CLINKER_VALLEY,Thung lũng âm thanh
SCENE_NAME_CRACKING_VOICE_RIDGE,Phá âm linh
SCENE_NAME_PLAY_CHESS,Đấu cờ
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} cửa nhà
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Tải trò chơi
STARTGAMEPANEL_STARTGAME,Bắt đầu trò chơi
STARTGAMEPANEL_CONTINUEGAME,Tiếp tục trò chơi
STARTGAMEPANEL_COMMONBUTTON31OPTION,Tùy chọn
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Thoát khỏi trò chơi
STARTGAMEPANEL_COMMONLABELARCHIVE,Lưu trữ
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Trò chơi mới
STARTGAMEPANEL_ARCHIVE_CLEAR,Xoá bỏ
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Xoá dữ liệu %s xác nhận thứ hai
PANEL_BUTTON_OK,Chắc chắn
PANEL_BUTTON_CANCEL,Hủy bỏ
PANEL_BUTTON_CLOSE,Đóng cửa
