stringKey,stringContent
NAME_GAME_NAME,이야기 하면서 걷는 팀들·음악의 나라
NAME_AVATAR_1,번개1호
NAME_AVATAR_2,군사
NAME_AVATAR_3,천샤오밍
NAME_AVATAR_4,백정
NAME_AVATAR_5,질풍
NAME_AVATAR_6,번개2호
NAME_AVATAR_7,번개3호
NAME_AVATAR_8,리웨이턴
NAME_AVATAR_9,태양의 여신
NAME_AVATAR_10,끈적끈적하다
NAME_AVATAR_11,끈적끈적하다
NAME_AVATAR_12,끈적끈적하다
NAME_AVATAR_13,끈적끈적하게 사랑하다
NAME_AVATAR_14,끈적끈적하다
NAME_AVATAR_15,(성어) 끈적끈적한 것
NAME_AVATAR_16,끈적끈적하다
NAME_AVATAR_17,끈적끈적하다
NAME_AVATAR_18,시롼신 (서난심)
NAME_AVATAR_19,공주의 여동생을 낳다
NAME_AVATAR_19_2,추 우
NAME_AVATAR_20,인 룽
NAME_AVATAR_21,끈적끈적하다
NAME_AVATAR_22,끈적끈적한 세월
NAME_AVATAR_23,끈적끈적하게 꾸미다
NAME_AVATAR_24,끈적끈적하다
NAME_AVATAR_25,도국왕
NAME_AVATAR_26,라이황후
NAME_AVATAR_27,미공주 누나
NAME_AVATAR_28,집사!
NAME_AVATAR_29,수다쟁이
NAME_AVATAR_30,배낭
NAME_AVATAR_31,수첩
NAME_AVATAR_32,{NAME_AVATAR_19} 편지입니다
NAME_AVATAR_33,싼룽후이
NAME_AVATAR_34,{NAME_AVATAR_33} 편지입니다
GOODS_NAME_1,디스패치 슈즈
GOODS_NAME_2,망원경
GOODS_NAME_3,가발
GOODS_NAME_4,가발
GOODS_NAME_5,가발
GOODS_NAME_6,가발
GOODS_NAME_7,긴 휴가발
GOODS_NAME_8,긴 휴가발
GOODS_NAME_9,긴 휴가발
GOODS_NAME_10,긴 휴가발
JOB_LOBBYIST,로비스트
NAME_1,낙지국
PLAY_CHESS_NAME,대국하다
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} 점
SCENE_NAME_1_HOME,{NAME_AVATAR_1}의 집이기도하다
SCENE_NAME_3_HOME,(일본어) {NAME_AVATAR_3}
SCENE_NAME_4_HOME,{NAME_AVATAR_4}의 집이기도하다
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} 집의 뜰
SCENE_NAME_CHORD_SQUARE,허셴광장
SCENE_NAME_STAVE_AVENUE,오선보도
SCENE_NAME_HALL_OF_MELODY,선율대전
SCENE_NAME_CLINKER_VALLEY,저우인협곡
SCENE_NAME_CRACKING_VOICE_RIDGE,파음령
SCENE_NAME_PLAY_CHESS,대국하다.
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} 집의 문
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,버전：%s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,게임 불러오기
STARTGAMEPANEL_STARTGAME,게임을 시작하다
STARTGAMEPANEL_CONTINUEGAME,게임을 계속하다
STARTGAMEPANEL_COMMONBUTTON31OPTION,옵션
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,게임 끝내기
STARTGAMEPANEL_COMMONLABELARCHIVE,압축 파일
STARTGAMEPANEL_ARCHIVE_NEW_GAME,새 게임
