stringKey,stringContent
NAME_GAME_NAME,述途路人團·樂之國
NAME_AVATAR_1,閃電一號
NAME_AVATAR_2,軍師
NAME_AVATAR_3,陳小明
NAME_AVATAR_4,白丁
NAME_AVATAR_5,疾風
NAME_AVATAR_6,閃電二號
NAME_AVATAR_7,閃電三號
NAME_AVATAR_8,李歪脖
NAME_AVATAR_9,太陽女神
NAME_AVATAR_10,黏黏浮
NAME_AVATAR_11,黏黏生
NAME_AVATAR_12,黏黏爲
NAME_AVATAR_13,黏黏愛
NAME_AVATAR_14,黏黏擋
NAME_AVATAR_15,黏黏劫
NAME_AVATAR_16,黏黏不
NAME_AVATAR_17,黏黏惜
NAME_AVATAR_18,西暖心
NAME_AVATAR_19,發公主妹妹
NAME_AVATAR_19_2,秋宇
NAME_AVATAR_20,銀龍
NAME_AVATAR_21,黏黏萬
NAME_AVATAR_22,黏黏年
NAME_AVATAR_23,黏黏修
NAME_AVATAR_24,黏黏爲
NAME_AVATAR_25,哆國王
NAME_AVATAR_26,來皇后
NAME_AVATAR_27,咪公主姐姐
NAME_AVATAR_28,啦管家
NAME_AVATAR_29,嗦管家
NAME_AVATAR_30,揹包
NAME_AVATAR_31,記事本
NAME_AVATAR_32,{NAME_AVATAR_19}的信
NAME_AVATAR_33,三龍會
NAME_AVATAR_34,{NAME_AVATAR_33}的信
GOODS_NAME_1,探路帆布鞋
GOODS_NAME_2,望遠鏡
GOODS_NAME_3,假髮
GOODS_NAME_4,假髮
GOODS_NAME_5,假髮
GOODS_NAME_6,假髮
GOODS_NAME_7,長假髮
GOODS_NAME_8,長假髮
GOODS_NAME_9,長假髮
GOODS_NAME_10,長假髮
JOB_LOBBYIST,說客
NAME_1,樂之國
PLAY_CHESS_NAME,對弈
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME}點數
SCENE_NAME_1_HOME,{NAME_AVATAR_1}的家
SCENE_NAME_3_HOME,{NAME_AVATAR_3}的家
SCENE_NAME_4_HOME,{NAME_AVATAR_4}的家
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3}家的院子
SCENE_NAME_CHORD_SQUARE,和絃廣場
SCENE_NAME_STAVE_AVENUE,五線譜大道
SCENE_NAME_HALL_OF_MELODY,旋律大殿
SCENE_NAME_CLINKER_VALLEY,走音峽谷
SCENE_NAME_CRACKING_VOICE_RIDGE,破音嶺
SCENE_NAME_PLAY_CHESS,對弈
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1}家的門
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,加載遊戲
STARTGAMEPANEL_STARTGAME,開始遊戲
STARTGAMEPANEL_CONTINUEGAME,繼續遊戲
STARTGAMEPANEL_COMMONBUTTON31OPTION,選項
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,退出遊戲
STARTGAMEPANEL_COMMONLABELARCHIVE,存檔
STARTGAMEPANEL_ARCHIVE_NEW_GAME,新遊戲
STARTGAMEPANEL_ARCHIVE_CLEAR,刪除
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,刪除存檔%s二次確認
PANEL_BUTTON_OK,確定
PANEL_BUTTON_CANCEL,取消
PANEL_BUTTON_CLOSE,關閉
OPTIONPANEL_COMMONLABEL31TITLE,選項界面
OPTIONPANEL_COMMONBUTTONLANGUAGE,選擇語言（Language）
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,圖像分辨率：
OPTIONPANEL_COMMONLABELFULLSCREEN,全屏：
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,畫面拉伸：
OPTIONPANEL_COMMONLABELMUSIC,音樂：
OPTIONPANEL_COMMONLABELSOUNDEFFECT,音效：
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,屏幕分辨率
OPTIONPANEL_COMMONLABELLANGUAGE,語言：
OPTIONPANEL_COMMONBUTTONDEFAULT,默認
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,回到大廳
OPTIONPANEL_COMMONBUTTONEXITGAME,退出遊戲
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,返回遊戲
OPTIONPANEL_GENERAL,通用
OPTIONPANEL_KEYBOARD,按鍵
OPTIONPANEL_KEYBOARD_MOVE,移動：
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW（或←→↓↑）
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}：
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,對弈：
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P（鼠標左鍵點擊任意處繼續）
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,選擇角色：
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,1，2，3，4，5，6，7，8，9，0
OPTIONPANEL_KEYBOARD_BAG,揹包：
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,記事本：
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,J（翻頁：PageUp，PageDown）
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,選項界面：
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_ABOUT,關於
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,遊戲名稱：{NAME_GAME_NAME}。
OPTIONPANEL_ABOUT_VERSION,版本：%s。
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,描述：%s。
OPTIONPANEL_ABOUT_CONTACT,聯繫：%s。
OPTIONPANEL_ABOUT_CONTACT_COPY,複製
OPTIONPANEL_ABOUT_THANKS,感謝：感謝我的家人們，沒有他們的支持，就沒有這款遊戲。
LANGUAGEPANEL_COMMONLABEL31TITLE,選擇語言
TIME_YEAR,年
TIME_MONTH,月
TIME_DAY,日
TIME_HOUR,時
TIME_MINUTE,分
TIME_SECOND,秒
BOOTSCENE_STARTING_STRING1,啓動中
BOOTSCENE_STARTING_STRING2,啓動中.
BOOTSCENE_STARTING_STRING3,啓動中..
BOOTSCENE_STARTING_STRING4,啓動中...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,天數 %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,天要黑了。
CURRENTSCENESHOWNAME_ENTER,進入 %s。
JOURNALRECORDPANEL_COMMONLABEL31TITLE,{NAME_AVATAR_31}
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR,角色
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG,物品
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE,地方
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK,遊歷
JOURNALRECORDPANEL_PLAY_CHESS_POINTS,對弈點數：%s到%s。
DOWNPANEL_CONTROLWRANGLEDIALOG_COMMONBUTTONWRANGLEDIALOGCONTINUE,繼續...
DOWNPANEL_WRANGLEDIALOGBUTTON_STRINGFLAG,：
UI_INPUT_ACTION_EVENT_TYPE_COMMONBUTTONITEM_TEXTUREBUTTON1_PRESSED_EVENT_IN_CD,冷卻中。
AVATAR_CAN_NOT_MOVE,移動不了。
AVATAR_HAD_EQUIP,已經佩戴：%s。
AVATAR_HAD_EQUIP2,已經佩戴。
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1,交互
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK,交談
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONPLAYCHESS1,{PLAY_CHESS_NAME}
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,使用
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,扔掉
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,扔掉%s嗎？
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_YES,扔掉
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_NO,留着
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13CHECK,查看
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,灰飛煙滅，看後即焚。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,已清除。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,乾淨了。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,空空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,空空空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,空空，空空，空空。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,空，空空空，空空。
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME}開始
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME}成功
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME}失敗
CHESSPANEL1_COMMONBUTTONCONTINUE,繼續
CHESSPANEL1_MOUSECLICKCONTINUE,（鼠標左鍵點擊任意處繼續）
CHESSPANEL1_POINTS,%s 對弈點數：%s。
SLOGAN_NEW_DAY_1,新的一天開始了。
SLOGAN_NEW_DAY_2,冒險的一天開始了。
SLOGAN_NEW_DAY_3,新的一天。
SLOGAN_NEW_DAY_4,冒險的一天。
SLOGAN_NEW_DAY_5,路途遙遠。
SLOGAN_NEW_DAY_6,路途遙遠，準備出發。
SLOGAN_NEW_DAY_7,準備出發。
SLOGAN_NEW_DAY_8,出發。
SLOGAN_AVATAR_DEAD_1,黑夜吞噬掉了不懼怕黑暗的人。
SLOGAN_AVATAR_DEAD_2,天黑了，你被黑夜吞噬掉了。
NAVIGATIONMANAGER_NOT_VALID_PATH_END_POSITION,無效的目的地。
NAVIGATIONMANAGER_END_OBSTRUCTIONS_NEARBY,停止自動尋路，附近有障礙物。
GOODS_DESCRIPTION_1,有了這雙鞋子，可以自動行走。
GOODS_DESCRIPTION_2,看的更遠，尤其是在光線不好的地方。
GOODS_DESCRIPTION_3,這應該是{JOB_LOBBYIST}的{GOODS_NAME_3}。
GOODS_DESCRIPTION_4,這應該是{JOB_LOBBYIST}的{GOODS_NAME_4}。
GOODS_DESCRIPTION_5,這應該是{JOB_LOBBYIST}的{GOODS_NAME_5}。
GOODS_DESCRIPTION_6,這應該是{JOB_LOBBYIST}的{GOODS_NAME_6}。
GOODS_DESCRIPTION_7,這應該是{JOB_LOBBYIST}的{GOODS_NAME_7}。
GOODS_DESCRIPTION_8,這應該是{JOB_LOBBYIST}的{GOODS_NAME_8}。
GOODS_DESCRIPTION_9,這應該是{JOB_LOBBYIST}的{GOODS_NAME_9}。
GOODS_DESCRIPTION_10,這應該是{JOB_LOBBYIST}的{GOODS_NAME_10}。
GOODS_DESCRIPTION_11,揹包可以攜帶很多物品，冒險之旅，遠足的必備工具。
GOODS_DESCRIPTION_12,記錄一路上的所見，所聞，所遇，所感。\n{NAME_AVATAR_31}有4個分頁：\n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR}分頁，描述團隊裏成員的信息。\n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG}分頁，揹包中物品的描述。\n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE}分頁，記錄去過的地方。\n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK}分頁，對話過的事物，會記錄下來。
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_1,一隻鞋表示一雙鞋？
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_2,左腳和右腳是一隻鞋？
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_3,電池放在哪裏？
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_4,沒找到開關。
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_5,開關在哪裏？
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_6,已經穿上了。
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_7,能自動找到路了。
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_8,這回不會迷路了。
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_9,我們要去哪兒來着？
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_10,我想想要去哪兒。
