stringKey,stringContent
NAME_GAME_NAME,述途路人団·楽の国
NAME_AVATAR_1,稲妻1号
NAME_AVATAR_2,軍師
NAME_AVATAR_3,陳小明
NAME_AVATAR_4,白丁
NAME_AVATAR_5,疾風
NAME_AVATAR_6,稲妻2号
NAME_AVATAR_7,稲妻3号
NAME_AVATAR_8,李首が曲がっている
NAME_AVATAR_9,太陽の女神
NAME_AVATAR_10,ねんちゃくフロート
NAME_AVATAR_11,粘稠生
NAME_AVATAR_12,べとべと
NAME_AVATAR_13,ねばねばした愛
NAME_AVATAR_14,ねんちゃくぼうし
NAME_AVATAR_15,粘土強盗
NAME_AVATAR_16,べたべたしない
NAME_AVATAR_17,べたべた
NAME_AVATAR_18,西暖心
NAME_AVATAR_19,プリンセス妹
NAME_AVATAR_19_2,秋宇
NAME_AVATAR_20,銀竜
NAME_AVATAR_21,べとべと万
NAME_AVATAR_22,ねんちゃく年
NAME_AVATAR_23,ねばねばしあげ
NAME_AVATAR_24,べとべと
NAME_AVATAR_25,ドラ王
NAME_AVATAR_26,来皇后
NAME_AVATAR_27,プリンセスお姉さん
NAME_AVATAR_28,執事
NAME_AVATAR_29,やかましい執事
NAME_AVATAR_30,リュックサック
NAME_AVATAR_31,メモ帳
NAME_AVATAR_32,{NAME_AVATAR_19}の手紙
NAME_AVATAR_33,三竜会
NAME_AVATAR_34,{NAME _ AVATAR _ 33}の手紙
GOODS_NAME_1,探路帆布靴
GOODS_NAME_2,望遠鏡
GOODS_NAME_3,かつら
GOODS_NAME_4,かつら
GOODS_NAME_5,かつら
GOODS_NAME_6,かつら
GOODS_NAME_7,長いかつら
GOODS_NAME_8,長いかつら
GOODS_NAME_9,長いかつら
GOODS_NAME_10,長いかつら
JOB_LOBBYIST,ロビイスト人
NAME_1,楽の国
PLAY_CHESS_NAME,対局
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME}ポイント
SCENE_NAME_1_HOME,{NAME_AVATAR_1}の家
SCENE_NAME_3_HOME,{NAME_AVATAR_3}の家
SCENE_NAME_4_HOME,{NAME_AVATAR_4}の家
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3}家の庭
SCENE_NAME_CHORD_SQUARE,コード広場
SCENE_NAME_STAVE_AVENUE,五線譜通り
SCENE_NAME_HALL_OF_MELODY,メロディー
SCENE_NAME_CLINKER_VALLEY,サウンドキャニオン
SCENE_NAME_CRACKING_VOICE_RIDGE,破音嶺
SCENE_NAME_PLAY_CHESS,対局
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1}家のドア
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,ロードゲーム
STARTGAMEPANEL_STARTGAME,ゲームを始める
STARTGAMEPANEL_CONTINUEGAME,ゲームを続ける
STARTGAMEPANEL_COMMONBUTTON31OPTION,オプション
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,ゲームを終了する
STARTGAMEPANEL_COMMONLABELARCHIVE,アーカイブ
STARTGAMEPANEL_ARCHIVE_NEW_GAME,新しいゲーム
STARTGAMEPANEL_ARCHIVE_CLEAR,とりのぞ·く
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,アーカイブ%s二次確認の削除
PANEL_BUTTON_OK,かくてい
PANEL_BUTTON_CANCEL,キャンセル
PANEL_BUTTON_CLOSE,閉じる
OPTIONPANEL_COMMONLABEL31TITLE,オプションインタフェース
OPTIONPANEL_COMMONBUTTONLANGUAGE,言語の選択（Language）
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,画像解像度：
OPTIONPANEL_COMMONLABELFULLSCREEN,全画面表示：
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,画面のストレッチ：
OPTIONPANEL_COMMONLABELMUSIC,音楽：
OPTIONPANEL_COMMONLABELSOUNDEFFECT,サウンド：
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,スクリーン解像度
OPTIONPANEL_COMMONLABELLANGUAGE,言語：
OPTIONPANEL_COMMONBUTTONDEFAULT,デフォルト
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,ロビーに戻ります
OPTIONPANEL_COMMONBUTTONEXITGAME,ゲームを終了する
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,ゲームに戻る
OPTIONPANEL_GENERAL,共通
OPTIONPANEL_KEYBOARD,キーを押す
OPTIONPANEL_KEYBOARD_MOVE,移動：
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW（または←→↓↑）
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}：
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,対局：
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P（マウスの左ボタンをクリックして続行）
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,ロールを選択：
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,1，2，3，4，5，6，7，8，9，0
OPTIONPANEL_KEYBOARD_BAG,リュック：
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,メモ：
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,J（ページをめくる：PageUp，PageDown）
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,オプション：
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_ABOUT,について
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,日文名称：{NAME_GAME_NAME}。
OPTIONPANEL_ABOUT_VERSION,バージョン：%s。
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,説明：%s。
OPTIONPANEL_ABOUT_CONTACT,連絡：%s。
OPTIONPANEL_ABOUT_CONTACT_COPY,レプリケーション
OPTIONPANEL_ABOUT_THANKS,感謝：私の家族に感謝して、彼らの支持がなければ、このゲームはありません。
LANGUAGEPANEL_COMMONLABEL31TITLE,言語の選択
TIME_YEAR,年
TIME_MONTH,月
TIME_DAY,日
TIME_HOUR,時
TIME_MINUTE,分
TIME_SECOND,秒
BOOTSCENE_STARTING_STRING1,起動中
BOOTSCENE_STARTING_STRING2,起動中
BOOTSCENE_STARTING_STRING3,起動中..。
BOOTSCENE_STARTING_STRING4,起動中...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,日数 %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,日が暮れる。
CURRENTSCENESHOWNAME_ENTER,%s に進みます。
JOURNALRECORDPANEL_COMMONLABEL31TITLE,{NAME_AVATAR_31}
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR,人物
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG,アイテム
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE,場所
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK,遊歴する
JOURNALRECORDPANEL_PLAY_CHESS_POINTS,対局点数：%sから%s。
DOWNPANEL_CONTROLWRANGLEDIALOG_COMMONBUTTONWRANGLEDIALOGCONTINUE,続行...
DOWNPANEL_WRANGLEDIALOGBUTTON_STRINGFLAG,：
UI_INPUT_ACTION_EVENT_TYPE_COMMONBUTTONITEM_TEXTUREBUTTON1_PRESSED_EVENT_IN_CD,冷却中。
AVATAR_CAN_NOT_MOVE,移動できません。
AVATAR_HAD_EQUIP,装着済み：%s。
AVATAR_HAD_EQUIP2,すでに着用しています。
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1,コンタクト
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK,会話
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONPLAYCHESS1,{PLAY_CHESS_NAME}
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,使用
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,捨てる
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,%sを捨てますか？
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_YES,捨てる
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_NO,残しておく
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13CHECK,表示＃ヒョウジ＃
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,灰が飛んで煙が消え、見たらすぐ焼ける。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,パージされました。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,きれいになりました。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,空です。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,空っぽ。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,空っぽ。
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,からっぽ「からっぽ」
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,空いている。
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME}開始
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME}成功
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME}に失敗しました
CHESSPANEL1_COMMONBUTTONCONTINUE,続行
CHESSPANEL1_MOUSECLICKCONTINUE,（マウスの左ボタンで任意の場所をクリックして続行）
CHESSPANEL1_POINTS,%s 対局点数：%s。
SLOGAN_NEW_DAY_1,新しい一日が始まった。
SLOGAN_NEW_DAY_2,冒険の一日が始まった。
SLOGAN_NEW_DAY_3,新しい日。
SLOGAN_NEW_DAY_4,冒険の一日。
SLOGAN_NEW_DAY_5,道が遠い。
SLOGAN_NEW_DAY_6,道が遠いので、出発の準備をしています。
SLOGAN_NEW_DAY_7,出発の準備をする。
SLOGAN_NEW_DAY_8,出発する。
SLOGAN_AVATAR_DEAD_1,夜は暗闇を恐れない人を飲み込んだ。
SLOGAN_AVATAR_DEAD_2,暗くなって、あなたは夜に飲み込まれました。
NAVIGATIONMANAGER_NOT_VALID_PATH_END_POSITION,無効な宛先。
