stringKey,stringContent
NAME_GAME_NAME,Pasukan yang berjalan sambil memberitahu - Tanah muzik
NAME_AVATAR_1,Kilat 1
NAME_AVATAR_2,Bahagian ketenteraan
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Letupan
NAME_AVATAR_6,Kilat 2
NAME_AVATAR_7,Kilat 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Dewi Matahari
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Knapsack
NAME_AVATAR_31,Notepad
NAME_AVATAR_32,Surat daripada {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,Surat daripada {NAME_AVATAR_33}
GOODS_NAME_1,Kasut kanvas Pathfinder
GOODS_NAME_2,teleskop
GOODS_NAME_3,Wig
GOODS_NAME_4,Wig
GOODS_NAME_5,Wig
GOODS_NAME_6,Wig
GOODS_NAME_7,Ahli sihir panjang
GOODS_NAME_8,Ahli sihir panjang
GOODS_NAME_9,Ahli sihir panjang
GOODS_NAME_10,Ahli sihir panjang
JOB_LOBBYIST,Pelobi
NAME_1,Tanah Kegembiraan
PLAY_CHESS_NAME,Permainan
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} mata
SCENE_NAME_1_HOME,{NAME_AVATAR_1}'s home
SCENE_NAME_3_HOME,{NAME_AVATAR_3}'s home
SCENE_NAME_4_HOME,{NAME_AVATAR_4}'s home
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} halaman rumah
SCENE_NAME_CHORD_SQUARE,Dataran polifonik
SCENE_NAME_STAVE_AVENUE,Jalan Kakitangan
SCENE_NAME_HALL_OF_MELODY,Dewan Melodi
SCENE_NAME_CLINKER_VALLEY,Berjalan Bunyi Canyon
SCENE_NAME_CRACKING_VOICE_RIDGE,Rabung Bunyi Patah
SCENE_NAME_PLAY_CHESS,Permainan
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} Pintu rumah
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Versi %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Muatkan
STARTGAMEPANEL_STARTGAME,Mulakan
STARTGAMEPANEL_CONTINUEGAME,Teruskan
STARTGAMEPANEL_COMMONBUTTON31OPTION,Pilihan
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Keluar dari
STARTGAMEPANEL_COMMONLABELARCHIVE,Arkib
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Permainan baru
STARTGAMEPANEL_ARCHIVE_CLEAR,Kosong
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Padamkan arkib %s pengakuan kedua
PANEL_BUTTON_OK,Baik
PANEL_BUTTON_CANCEL,Batal
PANEL_BUTTON_CLOSE,Tutup
OPTIONPANEL_COMMONLABEL31TITLE,Antara muka pilihan
OPTIONPANEL_COMMONBUTTONLANGUAGE,Pilih Bahasa
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,Resolusi Imej:
OPTIONPANEL_COMMONLABELFULLSCREEN,Skrin penuh:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,Regangan:
OPTIONPANEL_COMMONLABELMUSIC,Muzik:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Kesan bunyi:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,Resolusi skrin
OPTIONPANEL_COMMONLABELLANGUAGE,Bahasa:
OPTIONPANEL_COMMONBUTTONDEFAULT,Lalai
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Kembali ke lobi
OPTIONPANEL_COMMONBUTTONEXITGAME,Keluar dari permainan
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Kembali ke permainan
OPTIONPANEL_GENERAL,Umum
OPTIONPANEL_KEYBOARD,Keystroke
OPTIONPANEL_KEYBOARD_MOVE,Bergerak:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (atau ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}:
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,Permainan:
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P (klik butang tetikus kiri di mana-mana sahaja untuk meneruskan)
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,Pilih peranan:
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,1，2，3，4，5，6，7，8，9，0
OPTIONPANEL_KEYBOARD_BAG,Knapsack:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,Notepad:
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,"J (Page Up, PageDown) "
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Antara muka pilihan:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_ABOUT,Mengenai
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Nama permainan: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Versi: %s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Penerangan: %s.
OPTIONPANEL_ABOUT_CONTACT,Hubungi: %s.
OPTIONPANEL_ABOUT_CONTACT_COPY,Menyalin
OPTIONPANEL_ABOUT_THANKS,"Terima kasih kepada keluarga saya, tanpa sokongan mereka, permainan ini tidak mungkin. "
LANGUAGEPANEL_COMMONLABEL31TITLE,Pilih bahasa
TIME_YEAR,Tahun
TIME_MONTH,Bulan
TIME_DAY,Hari
TIME_HOUR,Masa
TIME_MINUTE,Membahagikan
TIME_SECOND,Kedua
BOOTSCENE_STARTING_STRING1,Memulakan
BOOTSCENE_STARTING_STRING2,Memulakan.
BOOTSCENE_STARTING_STRING3,Memulakan:
BOOTSCENE_STARTING_STRING4,Memulakan...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,Hari %s
DAYNIGHTPANEL_FIRSTSTARTNIGHT,Ia semakin gelap.
CURRENTSCENESHOWNAME_ENTER,Masukkan %s.
JOURNALRECORDPANEL_COMMONLABEL31TITLE,{NAME_AVATAR_31}
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR,Peranan
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG,Barangan
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE,Tempat
JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK,Perjalanan
JOURNALRECORDPANEL_PLAY_CHESS_POINTS,Bilangan mata: %s kepada %s.
DOWNPANEL_CONTROLWRANGLEDIALOG_COMMONBUTTONWRANGLEDIALOGCONTINUE,Teruskan...
DOWNPANEL_WRANGLEDIALOGBUTTON_STRINGFLAG,：
UI_INPUT_ACTION_EVENT_TYPE_COMMONBUTTONITEM_TEXTUREBUTTON1_PRESSED_EVENT_IN_CD,Penyejukan.
AVATAR_CAN_NOT_MOVE,Tidak boleh bergerak.
AVATAR_HAD_EQUIP,Sudah dipakai: %s.
AVATAR_HAD_EQUIP2,Sudah dipakai.
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1,Seterusnya
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK,Bercakap
DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONPLAYCHESS1,{PLAY_CHESS_NAME}
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13BAGUSE,Menggunakan
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13DISCARD,buang
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD,Buang %s?
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_YES,buang
DOWNPANEL_WRANGLEDIALOG_ASK_DISCARD_NO,Menyimpan
DOWNPANEL_CONTROLBAGUSE_COMMONBUTTON13CHECK,Lihat
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_1,"Abu hilang, dan mereka terbakar selepas menonton. "
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_2,Dibersihkan.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_3,Bersih.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_4,Kosong.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_5,Kosong.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_6,Kosong.
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_7,"Kosong, kosong, kosong. "
DOWNPANEL_COMMONRICHTEXTLABELJOURNALRECORD_CLEAR_8,"Kosong, kosong, kosong. "
CHESSPANEL1_PLAYCHESS_START,{PLAY_CHESS_NAME} bermula
CHESSPANEL1_PLAYCHESS_SUCCESS,{PLAY_CHESS_NAME} berjaya
CHESSPANEL1_PLAYCHESS_FAILURE,{PLAY_CHESS_NAME} gagal
CHESSPANEL1_COMMONBUTTONCONTINUE,Teruskan
CHESSPANEL1_MOUSECLICKCONTINUE,(Butang tetikus kiri klik di mana-mana sahaja untuk meneruskan)
CHESSPANEL1_POINTS,%s Bilangan mata: %s.
SLOGAN_NEW_DAY_1,Hari baru bermula.
SLOGAN_NEW_DAY_2,Hari pengembaraan bermula.
SLOGAN_NEW_DAY_3,Hari baru.
SLOGAN_NEW_DAY_4,Hari pengembaraan.
SLOGAN_NEW_DAY_5,Ia jauh.
SLOGAN_NEW_DAY_6,"Ia jauh, bersedia untuk pergi. "
SLOGAN_NEW_DAY_7,Sedia untuk pergi.
SLOGAN_NEW_DAY_8,Mari pergi.
SLOGAN_AVATAR_DEAD_1,Malam itu memakan mereka yang tidak takut akan kegelapan.
SLOGAN_AVATAR_DEAD_2,"Ia gelap, dan anda ditelan pada waktu malam. "
NAVIGATIONMANAGER_NOT_VALID_PATH_END_POSITION,Destinasi tidak sah.
NAVIGATIONMANAGER_END_OBSTRUCTIONS_NEARBY,"Hentikan jalan masuk automatik, terdapat halangan berdekatan. "
GOODS_DESCRIPTION_1,"Dengan kasut ini, boleh berjalan secara automatik. "
GOODS_DESCRIPTION_2,"Lihat lebih jauh, terutamanya di tempat yang kurang terang. "
GOODS_DESCRIPTION_3,Ini sepatutnya {GOODS_NAME_3} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_4,Ini sepatutnya {GOODS_NAME_4} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_5,Ini sepatutnya {GOODS_NAME_5} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_6,Ini sepatutnya {GOODS_NAME_6} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_7,Ini sepatutnya {GOODS_NAME_7} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_8,Ini sepatutnya {GOODS_NAME_8} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_9,Ini sepatutnya {GOODS_NAME_9} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_10,Ini sepatutnya {GOODS_NAME_10} daripada {JOB_LOBBYIST}.
GOODS_DESCRIPTION_11,"Beg galas boleh membawa banyak barang, alat penting untuk perjalanan pengembaraan, mendaki. "
GOODS_DESCRIPTION_12,"Rakam apa yang anda lihat, dengar, hadapi, dan rasakan di sepanjang jalan. \n{NAME_AVATAR_31} mempunyai 4 pagination:\n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20AVATAR} Pagination, yang menerangkan maklumat mengenai ahli pasukan. \n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20BAG} Pagination, perihalan kandungan beg galas. \n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20SCENE} paginasi ke tempat rekod yang dilawati. \n{JOURNALRECORDPANEL_CONTROLPAGING_TITLEBUTTON20TASK} pagination, perkara-perkara yang telah dibincangkan, akan direkodkan. "
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_1,Kasut bermaksud sepasang kasut?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_2,Kaki kiri dan kaki kanan adalah satu kasut?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_3,Di mana untuk meletakkan bateri?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_4,Suis tidak dijumpai.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_5,Di manakah suis?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_6,Sudah pakai.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_7,Anda boleh mencari jalan anda secara automatik.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_8,Anda tidak akan tersesat kali ini.
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_9,Kita hendak ke mana?
GOODSUSEFUNCTION_PUTONEQUIP_FOOT_10,Saya mahu pergi ke suatu tempat.
GOODSUSEFUNCTION_PUTONEQUIP_TELESCOPE_1,Lihat lagi.
GOODSUSEFUNCTION_PUTONEQUIP_TELESCOPE_2,Penglihatan yang lebih baik.
GOODSADDFUNCTION_TELESCOPE_1,"Kemahiran baru, kewaspadaan. "
GOODSADDFUNCTION_TELESCOPE_2,"Bukan clairvoyance, sepuluh meter pasti ada. "
GOODSREMOVEFUNCTION_TELESCOPE_1,Tidak boleh melihat lebih jauh.
