stringKey,stringContent
NAME_GAME_NAME,Tim yang bercerita dan berjalan - Negara musik
NAME_AVATAR_1,Petir 1
NAME_AVATAR_2,Consigliere yang baik.
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Hayate!
NAME_AVATAR_6,Petir 2
NAME_AVATAR_7,Petir 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Dewi matahari
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Ransel
NAME_AVATAR_31,Notepad
NAME_AVATAR_32,Surat dari {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,Surat dari {NAME_AVATAR_33}
GOODS_NAME_1,Probe kets
GOODS_NAME_2,Teropong!
GOODS_NAME_3,Rambut palsu.
GOODS_NAME_4,Rambut palsu.
GOODS_NAME_5,Rambut palsu.
GOODS_NAME_6,Rambut palsu.
GOODS_NAME_7,Rambut liburan panjang
GOODS_NAME_8,Rambut liburan panjang
GOODS_NAME_9,Rambut liburan panjang
GOODS_NAME_10,Rambut liburan panjang
JOB_LOBBYIST,Lobby boy
NAME_1,Negeri bahagia
PLAY_CHESS_NAME,DuiYi
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} kredit
SCENE_NAME_1_HOME,{NAME_AVATAR_1} rumah
SCENE_NAME_3_HOME,{NAME_AVATAR_3} rumah
SCENE_NAME_4_HOME,{NAME_AVATAR_4} rumah
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} halaman rumah
SCENE_NAME_CHORD_SQUARE,Chord square.
SCENE_NAME_STAVE_AVENUE,Quinjet boulevard
SCENE_NAME_HALL_OF_MELODY,Aula melodi
SCENE_NAME_CLINKER_VALLEY,Ngarai yang tak berjejak
SCENE_NAME_CRACKING_VOICE_RIDGE,Bukit melanggar
SCENE_NAME_PLAY_CHESS,DuiYi
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} pintu rumah
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Memuat
STARTGAMEPANEL_STARTGAME,Memulai
STARTGAMEPANEL_CONTINUEGAME,Lanjutkan
