stringKey,stringContent
NAME_GAME_NAME,Une équipe qui marche en racontant - Pays de la musique
NAME_AVATAR_1,La foudre 1
NAME_AVATAR_2,Division de l’armée iraquienne
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Vent
NAME_AVATAR_6,La foudre 2
NAME_AVATAR_7,La foudre 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Déesse du soleil
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Sac
NAME_AVATAR_31,Bloc-notes
NAME_AVATAR_32,La lettre de {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,La lettre de {NAME_AVATAR_33}
GOODS_NAME_1,Espadrilles exploratoires
GOODS_NAME_2,Télescope
GOODS_NAME_3,Perruques
GOODS_NAME_4,Perruques
GOODS_NAME_5,Perruques
GOODS_NAME_6,Perruques
GOODS_NAME_7,Cheveux longs faux
GOODS_NAME_8,Cheveux longs faux
GOODS_NAME_9,Cheveux longs faux
GOODS_NAME_10,Cheveux longs faux
JOB_LOBBYIST,Les lobbyistes
NAME_1,Le pays du plaisir
PLAY_CHESS_NAME,Partie D’échecs
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} Points
SCENE_NAME_1_HOME,Accueil de {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Accueil de {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Accueil de {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} cour de la maison
SCENE_NAME_CHORD_SQUARE,Carré des acordes
SCENE_NAME_STAVE_AVENUE,Avenue des lignes
SCENE_NAME_HALL_OF_MELODY,La grande salle mélodique
SCENE_NAME_CLINKER_VALLEY,Promenade des gorges sonores
SCENE_NAME_CRACKING_VOICE_RIDGE,La crête rompue
SCENE_NAME_PLAY_CHESS,Partie D’échecs
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} la porte de la maison
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Charger le jeu
STARTGAMEPANEL_STARTGAME,Commencer le jeu
STARTGAMEPANEL_CONTINUEGAME,Continuer le jeu
STARTGAMEPANEL_COMMONBUTTON31OPTION,Les options
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Quitter le jeu
STARTGAMEPANEL_COMMONLABELARCHIVE,Archivage
STARTGAMEPANEL_ARCHIVE_NEW_GAME,Le nouveau jeu
STARTGAMEPANEL_ARCHIVE_CLEAR,Supprimé
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Supprimer l’archive %s deuxième confirmation 
PANEL_BUTTON_OK,Déterminer
PANEL_BUTTON_CANCEL,Annulation
PANEL_BUTTON_CLOSE,La fermeture
OPTIONPANEL_COMMONLABEL31TITLE,Interface des options
OPTIONPANEL_COMMONBUTTONLANGUAGE,Sélectionnez la langue (langue)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,Image:
OPTIONPANEL_COMMONLABELFULLSCREEN,Plein écran:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,L’image s’étire:
OPTIONPANEL_COMMONLABELMUSIC,La musique:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Effets sonores:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,Résolution de l’écran
OPTIONPANEL_COMMONLABELLANGUAGE,Langues parlées:
OPTIONPANEL_COMMONBUTTONDEFAULT,Par défaut
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Retour au lobby
OPTIONPANEL_COMMONBUTTONEXITGAME,Quitter le jeu
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Retour au jeu
OPTIONPANEL_GENERAL,General
OPTIONPANEL_KEYBOARD,Touches
OPTIONPANEL_KEYBOARD_MOVE,Pour déménager:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (ou ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}:
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,Partie:
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P (clic gauche de la souris n’importe où pour continuer)
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,Sélectionnez un rôle:
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,"1,2,3,4,5,6,7,8,9,0 "
OPTIONPANEL_KEYBOARD_BAG,Sac:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,Bloc-notes:
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,"J (tourner la page: PageUp, PageDown) "
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Interface des options:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
OPTIONPANEL_ABOUT,Concerne
OPTIONPANEL_ABOUT_NAME_OF_THE_GAME,Nom du jeu: {NAME_GAME_NAME}.
OPTIONPANEL_ABOUT_VERSION,Version: %s.
OPTIONPANEL_ABOUT_COPYRIGHT_AND_DEVELOPMENT,Description: %s.
OPTIONPANEL_ABOUT_CONTACT,Contact: %s.
OPTIONPANEL_ABOUT_CONTACT_COPY,La reproduction
OPTIONPANEL_ABOUT_THANKS,"Remerciements: aux membres de ma famille, sans leur soutien, ce jeu n’existerait pas. "
LANGUAGEPANEL_COMMONLABEL31TITLE,Choisissez votre langue
TIME_YEAR,en
TIME_MONTH,le
TIME_DAY,le
TIME_HOUR,Lors de la
TIME_MINUTE,h
TIME_SECOND,S
BOOTSCENE_STARTING_STRING1,En cours de démarrage
BOOTSCENE_STARTING_STRING2,En cours de démarrage.
BOOTSCENE_STARTING_STRING3,Démarrage en cours..
BOOTSCENE_STARTING_STRING4,Démarrage en cours...
DAYNIGHTPANEL_COMMONLABELDAYSNUMBER,Nombre de jours %s
