stringKey,stringContent
NAME_GAME_NAME,述途路人团·乐之国
NAME_AVATAR_1,闪电一号
NAME_AVATAR_2,军师
NAME_AVATAR_3,陈小明
NAME_AVATAR_4,白丁
NAME_AVATAR_5,疾风
NAME_AVATAR_6,闪电二号
NAME_AVATAR_7,闪电三号
NAME_AVATAR_8,李歪脖
NAME_AVATAR_9,太阳女神
NAME_AVATAR_10,黏黏浮
NAME_AVATAR_11,黏黏生
NAME_AVATAR_12,黏黏为
NAME_AVATAR_13,黏黏爱
NAME_AVATAR_14,黏黏挡
NAME_AVATAR_15,黏黏劫
NAME_AVATAR_16,黏黏不
NAME_AVATAR_17,黏黏惜
NAME_AVATAR_18,西暖心
NAME_AVATAR_19,发公主妹妹
NAME_AVATAR_19_2,秋宇
NAME_AVATAR_20,银龙
NAME_AVATAR_21,黏黏万
NAME_AVATAR_22,黏黏年
NAME_AVATAR_23,黏黏修
NAME_AVATAR_24,黏黏为
NAME_AVATAR_25,哆国王
NAME_AVATAR_26,来皇后
NAME_AVATAR_27,咪公主姐姐
NAME_AVATAR_28,啦管家
NAME_AVATAR_29,嗦管家
NAME_AVATAR_30,背包
NAME_AVATAR_31,记事本
NAME_AVATAR_32,{NAME_AVATAR_19}的信
NAME_AVATAR_33,三龙会
NAME_AVATAR_34,{NAME_AVATAR_33}的信
GOODS_NAME_1,探路帆布鞋
GOODS_NAME_2,望远镜
GOODS_NAME_3,假发
GOODS_NAME_4,假发
GOODS_NAME_5,假发
GOODS_NAME_6,假发
GOODS_NAME_7,长假发
GOODS_NAME_8,长假发
GOODS_NAME_9,长假发
GOODS_NAME_10,长假发
JOB_LOBBYIST,说客
NAME_1,乐之国
PLAY_CHESS_NAME,对弈
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME}点数
SCENE_NAME_1_HOME,{NAME_AVATAR_1}的家
SCENE_NAME_3_HOME,{NAME_AVATAR_3}的家
SCENE_NAME_4_HOME,{NAME_AVATAR_4}的家
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3}家的院子
SCENE_NAME_CHORD_SQUARE,和弦广场
SCENE_NAME_STAVE_AVENUE,五线谱大道
SCENE_NAME_HALL_OF_MELODY,旋律大殿
SCENE_NAME_CLINKER_VALLEY,走音峡谷
SCENE_NAME_CRACKING_VOICE_RIDGE,破音岭
SCENE_NAME_PLAY_CHESS,对弈
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1}家的门
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,加载游戏
STARTGAMEPANEL_STARTGAME,开始游戏
STARTGAMEPANEL_CONTINUEGAME,继续游戏
STARTGAMEPANEL_COMMONBUTTON31OPTION,选项
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,退出游戏
STARTGAMEPANEL_COMMONLABELARCHIVE,存档
STARTGAMEPANEL_ARCHIVE_NEW_GAME,新游戏
STARTGAMEPANEL_ARCHIVE_CLEAR,删除
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,删除存档%s二次确认
PANEL_BUTTON_OK,确定
PANEL_BUTTON_CANCEL,取消
PANEL_BUTTON_CLOSE,关闭
OPTIONPANEL_COMMONLABEL31TITLE,选项界面
OPTIONPANEL_COMMONBUTTONLANGUAGE,选择语言（Language）
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,图像分辨率：
OPTIONPANEL_COMMONLABELFULLSCREEN,全屏：
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,画面拉伸：
OPTIONPANEL_COMMONLABELMUSIC,音乐：
OPTIONPANEL_COMMONLABELSOUNDEFFECT,音效：
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,屏幕分辨率
OPTIONPANEL_COMMONLABELLANGUAGE,语言：
OPTIONPANEL_COMMONBUTTONDEFAULT,默认
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,回到大厅
OPTIONPANEL_COMMONBUTTONEXITGAME,退出游戏
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,返回游戏
OPTIONPANEL_GENERAL,通用
OPTIONPANEL_KEYBOARD,按键
OPTIONPANEL_KEYBOARD_MOVE,移动：
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW（或←→↓↑）
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}：
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,对弈：
