stringKey,stringContent
NAME_GAME_NAME,El equipo que habla y camina – País de la música
NAME_AVATAR_1,Los relámpagos 1
NAME_AVATAR_2,JunShi
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,JiFeng
NAME_AVATAR_6,Los relámpagos 2
NAME_AVATAR_7,Los relámpagos 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Diosa del sol
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Mochila
NAME_AVATAR_31,Libreta
NAME_AVATAR_32,La carta de {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,La carta de {NAME_AVATAR_33}
GOODS_NAME_1,Alpargatas de exploración
GOODS_NAME_2,Telescopio
GOODS_NAME_3,La peluca
GOODS_NAME_4,La peluca
GOODS_NAME_5,La peluca
GOODS_NAME_6,La peluca
GOODS_NAME_7,Postizas largas
GOODS_NAME_8,Postizas largas
GOODS_NAME_9,Postizas largas
GOODS_NAME_10,Postizas largas
JOB_LOBBYIST,intrigador
NAME_1,Tierra de placer
PLAY_CHESS_NAME,DuiYi
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} puntos
SCENE_NAME_1_HOME,Inicio de {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Inicio de {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Inicio de {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} patio de la casa
SCENE_NAME_CHORD_SQUARE,Plaza de acordes
SCENE_NAME_STAVE_AVENUE,Avenida de pautas
SCENE_NAME_HALL_OF_MELODY,Salón melódico
SCENE_NAME_CLINKER_VALLEY,Paseo por el cañón sonoro
SCENE_NAME_CRACKING_VOICE_RIDGE,Cresta de sonido roto
SCENE_NAME_PLAY_CHESS,DuiYi
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} puertas de casa
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Cargar el juego
STARTGAMEPANEL_STARTGAME,Empezar el juego
STARTGAMEPANEL_CONTINUEGAME,Continuar el juego
STARTGAMEPANEL_COMMONBUTTON31OPTION,La opción
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Salir del juego
STARTGAMEPANEL_COMMONLABELARCHIVE,El archivo
STARTGAMEPANEL_ARCHIVE_NEW_GAME,El nuevo juego
STARTGAMEPANEL_ARCHIVE_CLEAR,borrar
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,Eliminar archivo %s segunda confirmación
PANEL_BUTTON_OK,Determinar
PANEL_BUTTON_CANCEL,Cancelación
PANEL_BUTTON_CLOSE,Cierre
OPTIONPANEL_COMMONLABEL31TITLE,Interfaz de opciones
OPTIONPANEL_COMMONBUTTONLANGUAGE,Seleccione el idioma (idioma)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,Imagen:
OPTIONPANEL_COMMONLABELFULLSCREEN,Full Screen:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,De tracción:
OPTIONPANEL_COMMONLABELMUSIC,Música:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,Efectos de sonido:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,Resolución de pantalla
OPTIONPANEL_COMMONLABELLANGUAGE,Idioma:
OPTIONPANEL_COMMONBUTTONDEFAULT,Por defecto
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,Volver al lobby
OPTIONPANEL_COMMONBUTTONEXITGAME,Salir del juego
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,Volver al juego
OPTIONPANEL_GENERAL,General
OPTIONPANEL_KEYBOARD,Botón 
OPTIONPANEL_KEYBOARD_MOVE,En movimiento:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (o ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}:
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,El juego:
OPTIONPANEL_KEYBOARD_PLAY_CHESS_CONTENT,P (haga clic en cualquier lugar del ratón para continuar)
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER,Seleccione un rol:
OPTIONPANEL_KEYBOARD_SELECT_CHARACTER_CONTENT,"1, 2, 3, 4, 5, 6, 7, 8, 9, 0"
OPTIONPANEL_KEYBOARD_BAG,Mochila:
OPTIONPANEL_KEYBOARD_BAG_CONTENT,B
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD,Libreta:
OPTIONPANEL_KEYBOARD_JOURNAL_RECORD_CONTENT,"J (girar la página: PageUp, PageDown) "
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN,Interfaz de opciones:
OPTIONPANEL_KEYBOARD_OPTIONS_SCREEN_CONTENT,O
