stringKey,stringContent
NAME_GAME_NAME,"Zespół, który chodzi, opowiadając - Kraj muzyki"
NAME_AVATAR_1,Piorun 1
NAME_AVATAR_2,Dywizja wojskowa
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Podmuch
NAME_AVATAR_6,Piorun 2
NAME_AVATAR_7,Piorun 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Bogini Słońca
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Plecak
NAME_AVATAR_31,Notatnik
NAME_AVATAR_32,List od {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,List od {NAME_AVATAR_33}
GOODS_NAME_1,Buty płócienne Pathfinder
GOODS_NAME_2,teleskop
GOODS_NAME_3,Peruka
GOODS_NAME_4,Peruka
GOODS_NAME_5,Peruka
GOODS_NAME_6,Peruka
GOODS_NAME_7,Długie peruki
GOODS_NAME_8,Długie peruki
GOODS_NAME_9,Długie peruki
GOODS_NAME_10,Długie peruki
JOB_LOBBYIST,Lobbystów
NAME_1,Kraina radości
PLAY_CHESS_NAME,Gra
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} punktów
SCENE_NAME_1_HOME,Profil użytkownika {NAME_AVATAR_1}
SCENE_NAME_3_HOME,Profil {NAME_AVATAR_3}
SCENE_NAME_4_HOME,Profil użytkownika {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} podwórko domu
SCENE_NAME_CHORD_SQUARE,Kwadrat polifoniczny
SCENE_NAME_STAVE_AVENUE,Aleja Pracownicza
SCENE_NAME_HALL_OF_MELODY,Sala melodyczna
SCENE_NAME_CLINKER_VALLEY,Walking Sound Canyon
SCENE_NAME_CRACKING_VOICE_RIDGE,Broken Sound Ridge
SCENE_NAME_PLAY_CHESS,Gra
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} Drzwi domu
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Wersja %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,Załaduj grę
STARTGAMEPANEL_STARTGAME,Rozpocznij grę
STARTGAMEPANEL_CONTINUEGAME,Kontynuuj grę
STARTGAMEPANEL_COMMONBUTTON31OPTION,Opcje
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,Wyjdź z gry
STARTGAMEPANEL_COMMONLABELARCHIVE,archiwum
