stringKey,stringContent
NAME_GAME_NAME,"Leute, die was sagen und sich unterhalten - Im land der musik"
NAME_AVATAR_1,Lightning 1
NAME_AVATAR_2,Consigliere.
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Hayes!
NAME_AVATAR_6,Lightning 2
NAME_AVATAR_7,Lightning 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Göttin sonne.
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Rucksack.
NAME_AVATAR_31,Ein terminkalender.
NAME_AVATAR_32,{NAME_AVATAR_19} Der brief
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,{NAME_AVATAR_33} Der brief
GOODS_NAME_1,Long island sound
GOODS_NAME_2,Und das visier.
GOODS_NAME_3,Toupet.
GOODS_NAME_4,Toupet.
GOODS_NAME_5,Toupet.
GOODS_NAME_6,Toupet.
GOODS_NAME_7,Lange perücken.
GOODS_NAME_8,Lange perücken.
GOODS_NAME_9,Lange perücken.
GOODS_NAME_10,Lange perücken.
JOB_LOBBYIST,Der lobbyist.
NAME_1,Land des glücks.
PLAY_CHESS_NAME,Spiel
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} Points
SCENE_NAME_1_HOME,{NAME_AVATAR_1}'s home
SCENE_NAME_3_HOME,{NAME_AVATAR_3}'s home
SCENE_NAME_4_HOME,{NAME_AVATAR_4}'s home
SCENE_NAME_3_HOME_COURTYARD,The courtyard of {NAME_AVATAR_3}'s house
SCENE_NAME_CHORD_SQUARE,Der akkord square?
SCENE_NAME_STAVE_AVENUE,Pentagon avenue
SCENE_NAME_HALL_OF_MELODY,El melodie
