stringKey,stringContent
NAME_GAME_NAME,Anlatırken yürüyen bir ekip - Müziğin ülkesi
NAME_AVATAR_1,Yıldırım I
NAME_AVATAR_2,Askeri bölüm
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,Patlama
NAME_AVATAR_6,Yıldırım II
NAME_AVATAR_7,Yıldırım III
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Güneş Tanrıçası
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Sırt çantası
NAME_AVATAR_31,Not defteri
NAME_AVATAR_32,{NAME_AVATAR_19}'dan mektup
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,{NAME_AVATAR_33}'dan mektup
GOODS_NAME_1,Pathfinder kanvas ayakkabılar
GOODS_NAME_2,teleskop
GOODS_NAME_3,Peruk
GOODS_NAME_4,Peruk
GOODS_NAME_5,Peruk
GOODS_NAME_6,Peruk
GOODS_NAME_7,Uzun peruklar
GOODS_NAME_8,Uzun peruklar
GOODS_NAME_9,Uzun peruklar
GOODS_NAME_10,Uzun peruklar
JOB_LOBBYIST,Lobiciler
NAME_1,Sevinç Ülkesi
PLAY_CHESS_NAME,Oyun
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME} puan
SCENE_NAME_1_HOME,{NAME_AVATAR_1}'nin evi
SCENE_NAME_3_HOME,{NAME_AVATAR_3}'nin evi
SCENE_NAME_4_HOME,{NAME_AVATAR_4}'nin evi
SCENE_NAME_3_HOME_COURTYARD,Evin {NAME_AVATAR_3} bahçesi
SCENE_NAME_CHORD_SQUARE,Polifonik Kare
SCENE_NAME_STAVE_AVENUE,Personel Caddesi
SCENE_NAME_HALL_OF_MELODY,Melodi Salonu
SCENE_NAME_CLINKER_VALLEY,Yürüyen Ses Kanyonu
SCENE_NAME_CRACKING_VOICE_RIDGE,Kırık Ses Sırtı
SCENE_NAME_PLAY_CHESS,Oyun
