stringKey,stringContent
NAME_GAME_NAME,من الناس العاديين الذين يروون القصص -بلد الموسيقى
NAME_AVATAR_1,لايتنج 1
NAME_AVATAR_2,فرق
NAME_AVATAR_3,تشن شياو مينغ
NAME_AVATAR_4,Bai Ding
NAME_AVATAR_5,سيارات مثيرة
NAME_AVATAR_6,لايتنج 2
NAME_AVATAR_7,لايتنج 3
NAME_AVATAR_8,ليجي
NAME_AVATAR_9,إلهة الشمس
NAME_AVATAR_10,إلصاق
NAME_AVATAR_11,! لزجة
NAME_AVATAR_12,لزجة …
NAME_AVATAR_13,حب لزج
NAME_AVATAR_14,مفرغة
NAME_AVATAR_15,سرقة لزجة
NAME_AVATAR_16,لزجة؟
NAME_AVATAR_17,لزجة
NAME_AVATAR_18,الغرب دافئ
NAME_AVATAR_19,. الأميرة
NAME_AVATAR_19_2,خريف يو
NAME_AVATAR_20,الفضة التنين
NAME_AVATAR_21,! لزجة
NAME_AVATAR_22,سنة لزجة
NAME_AVATAR_23,اللصق
NAME_AVATAR_24,لزجة …
NAME_AVATAR_25,أي ملك
NAME_AVATAR_26,تعالي يا إمبراطورة
NAME_AVATAR_27,(الأميرة (ميمي
NAME_AVATAR_28,مدبرة المنزل
NAME_AVATAR_29,مدبرة منزل
NAME_AVATAR_30,حقيبة ظهر
NAME_AVATAR_31,دفتر مذكرات
NAME_AVATAR_32,{NAME_AVATAR_19}. رسالة من
NAME_AVATAR_33,ثلاثة تنانين
NAME_AVATAR_34,{NAME_AVATAR_33}. رسالة من
GOODS_NAME_1,أحذية استكشافية
GOODS_NAME_2,المنظار
GOODS_NAME_3,شعر مستعار
GOODS_NAME_4,شعر مستعار
GOODS_NAME_5,شعر مستعار
GOODS_NAME_6,شعر مستعار
GOODS_NAME_7,شعر طويل
GOODS_NAME_8,شعر طويل
GOODS_NAME_9,شعر طويل
GOODS_NAME_10,شعر طويل
JOB_LOBBYIST,الضاغط
NAME_1,أرض السعادة
PLAY_CHESS_NAME,DuiYi
PLAY_CHESS_POINTS,{PLAY_CHESS_NAME}. أعد العد
SCENE_NAME_1_HOME,{NAME_AVATAR_1}. في المنزل
SCENE_NAME_3_HOME,{NAME_AVATAR_3}. في المنزل
SCENE_NAME_4_HOME,{NAME_AVATAR_4}. في المنزل
SCENE_NAME_3_HOME_COURTYARD,في ساحة المنزل {NAME_AVATAR_3}
SCENE_NAME_CHORD_SQUARE,ميدان الوتر
SCENE_NAME_STAVE_AVENUE,جادة الخمسة
SCENE_NAME_HALL_OF_MELODY,قاعة اللحن
SCENE_NAME_CLINKER_VALLEY,. إمشي
SCENE_NAME_CRACKING_VOICE_RIDGE,حاجز الصوت
SCENE_NAME_PLAY_CHESS,DuiYi
NPCARTICLETRIGGER_NAME_1,. باب المنزل {NAME_AVATAR_1}
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,تحميل اللعبة
STARTGAMEPANEL_STARTGAME,ابدأ اللعبة
STARTGAMEPANEL_CONTINUEGAME,تابع اللعبة
STARTGAMEPANEL_COMMONBUTTON31OPTION,الخيار
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,أخرج من اللعبة
STARTGAMEPANEL_COMMONLABELARCHIVE,وحفظت
STARTGAMEPANEL_ARCHIVE_NEW_GAME,لعبة جديدة
STARTGAMEPANEL_ARCHIVE_CLEAR,حذف
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,احذف أرشيف %s تأكيد ثانوي
PANEL_BUTTON_OK,تحديد
PANEL_BUTTON_CANCEL,إلغاء
PANEL_BUTTON_CLOSE,إغلاق
OPTIONPANEL_COMMONLABEL31TITLE,واجهة الخيارات
OPTIONPANEL_COMMONBUTTONLANGUAGE,اختر اللغة (Language)
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,استبانة الصور:
OPTIONPANEL_COMMONLABELFULLSCREEN,شاشة كاملة:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,تمدد الصورة:
OPTIONPANEL_COMMONLABELMUSIC,الموسيقى:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,المؤثرات الصوتية:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280x720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920x1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,وضوح الشاشة
OPTIONPANEL_COMMONLABELLANGUAGE,اللغة:
OPTIONPANEL_COMMONBUTTONDEFAULT,افتراضي
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,العودة إلى القاعة
OPTIONPANEL_COMMONBUTTONEXITGAME,أخرج من اللعبة
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,العودة إلى اللعبة
OPTIONPANEL_GENERAL,جنرال
OPTIONPANEL_KEYBOARD,الزر
OPTIONPANEL_KEYBOARD_MOVE,تحرك:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,ADSW (or ←→↓↑)
OPTIONPANEL_KEYBOARD_INTERACTION_TALK,{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1}/{DOWNPANEL_CONTROLINTERACTION_COMMONTEXTUREBUTTONINTERACTION1_TALK}：
OPTIONPANEL_KEYBOARD_INTERACTION_TALK_CONTENT,E
OPTIONPANEL_KEYBOARD_PLAY_CHESS,اللعبة:
