stringKey,stringContent
NAME_GAME_NAME,ทีมงานของคนธรรมดา ที่เล่าเรื่องราว·ประเทศแห่งดนตรี
NAME_AVATAR_1,สายฟ้า 1
NAME_AVATAR_2,ท่านนายพล
NAME_AVATAR_3,ชานยอง
NAME_AVATAR_4,สีขาว
NAME_AVATAR_5,ความเร็วลม
NAME_AVATAR_6,สายฟ้า 2
NAME_AVATAR_7,สายฟ้า 3
NAME_AVATAR_8,เรื่องราวของลี
NAME_AVATAR_9,ดวงอาทิตย์
NAME_AVATAR_10,เหนียวเหนอะหนะ
NAME_AVATAR_11,เหนียวเหนอะ
NAME_AVATAR_12,เหนียวเหนอะ
NAME_AVATAR_13,เหนียวเหนอะ
NAME_AVATAR_14,เหนียวเหนอะหนะ
NAME_AVATAR_15,เหนียวเหนอะ
NAME_AVATAR_16,เหนียวเหนอะหนะ
NAME_AVATAR_17,เหนียวเหนอะ
NAME_AVATAR_18,มันช่างอบอุ่น
NAME_AVATAR_19,น้องสาวเจ้าหญิง
NAME_AVATAR_19_2,โชวู
NAME_AVATAR_20,มังกรเงิน
NAME_AVATAR_21,เหนียวเหนอะ
NAME_AVATAR_22,เหนียวเหนอะหนะ
NAME_AVATAR_23,ซ่อมมันเหนียวเหนอะหนะ
NAME_AVATAR_24,เหนียวเหนอะ
NAME_AVATAR_25,ราชาโดรา
NAME_AVATAR_26,มาราชินี
NAME_AVATAR_27,มินามิ
NAME_AVATAR_28,แม่บ้าน
NAME_AVATAR_29,ใช้คำฟุ่มเฟือย
NAME_AVATAR_30,กระเป๋าเป้
NAME_AVATAR_31,สมุดบันทึก
NAME_AVATAR_32,จดหมายจากนามูด {NAME_AVATAR_19}
NAME_AVATAR_33,สามมังกร
NAME_AVATAR_34,จดหมายของนามากแอฟริกา {NAME_AVATAR_33}
GOODS_NAME_1,รองเท้าผ้าใบสำหรับเดินทาง
GOODS_NAME_2,กล้องโทรทรรศน์
GOODS_NAME_3,วิก
GOODS_NAME_4,วิก
GOODS_NAME_5,วิก
GOODS_NAME_6,วิก
GOODS_NAME_7,ผมยาว
GOODS_NAME_8,ผมยาว
GOODS_NAME_9,ผมยาว
GOODS_NAME_10,ผมยาว
JOB_LOBBYIST,นักล็อบบี้
NAME_1,ดินแดนแห่งความสุข
PLAY_CHESS_NAME,เกม
PLAY_CHESS_POINTS,จำนวนจุด {PLAY_CHESS_NAME}
SCENE_NAME_1_HOME,บ้านของนามูก {NAME_AVATAR_1}
SCENE_NAME_3_HOME,บ้านของนามาซี {NAME_AVATAR_3}
SCENE_NAME_4_HOME,บ้านของนามาก {NAME_AVATAR_4}
SCENE_NAME_3_HOME_COURTYARD,{NAME_AVATAR_3} บ้านของครอบครัว
SCENE_NAME_CHORD_SQUARE,คอร์ดพลาซ่า
SCENE_NAME_STAVE_AVENUE,ถนนสาย 5
SCENE_NAME_HALL_OF_MELODY,เมโลดี้แกรนด์วิหาร
SCENE_NAME_CLINKER_VALLEY,ไป ที่หุบเขาแห่งเสียง
SCENE_NAME_CRACKING_VOICE_RIDGE,หุบเขาแห่งเสียงรบกวน
SCENE_NAME_PLAY_CHESS,ฝ่ายตรงข้าม
NPCARTICLETRIGGER_NAME_1,{NAME_AVATAR_1} ประตูบ้าน
STARTGAMEPANEL_TITLELABEL38GAMETITLE,{NAME_GAME_NAME}
STARTGAMEPANEL_COMMONLABELVERSION,Version %s
STARTGAMEPANEL_COMMONBUTTON31LOADGAME,โหลดเกม
STARTGAMEPANEL_STARTGAME,เริ่มเกม
STARTGAMEPANEL_CONTINUEGAME,เล่นต่อไป
STARTGAMEPANEL_COMMONBUTTON31OPTION,ตัวเลือก
STARTGAMEPANEL_COMMONBUTTON31EXITGAME,ออกจากเกม
STARTGAMEPANEL_COMMONLABELARCHIVE,แฟ้มจัดเก็บ
STARTGAMEPANEL_ARCHIVE_NEW_GAME,เกมใหม่
STARTGAMEPANEL_ARCHIVE_CLEAR,ลบ
STARTGAMEPANEL_ARCHIVE_CLEAR_DOUBLE_CONFIRMATION,ยืนยันการลบแฟ้มจัดเก็บ %s เป็นครั้ง ที่สอง
PANEL_BUTTON_OK,แน่ใจ
PANEL_BUTTON_CANCEL,ยกเลิก
PANEL_BUTTON_CLOSE,ปิด
OPTIONPANEL_COMMONLABEL31TITLE,ส่วนติดต่อตัวเลือก
OPTIONPANEL_COMMONBUTTONLANGUAGE,เลือกภาษา
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO,ความละเอียดของภาพ:
OPTIONPANEL_COMMONLABELFULLSCREEN,เต็มจอภาพ:
OPTIONPANEL_COMMONLABELWINDOWSTRETCH,การยืดภาพ:
OPTIONPANEL_COMMONLABELMUSIC,เพลง:
OPTIONPANEL_COMMONLABELSOUNDEFFECT,เอฟเฟ็กต์เสียง:
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_2,1280 x 720
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_3,1920 x 1080
OPTIONPANEL_COMMONLABELVIDEORESOLUTIONRATIO_SCREEN_RESOLUTION,ความละเอียดจอภาพ
OPTIONPANEL_COMMONLABELLANGUAGE,ภาษา:
OPTIONPANEL_COMMONBUTTONDEFAULT,ค่าปริยาย
OPTIONPANEL_COMMONBUTTONRETURNTOHUBSCENE,กลับไป ที่ล็อบบี้
OPTIONPANEL_COMMONBUTTONEXITGAME,ออกจากเกม
OPTIONPANEL_COMMONBUTTONRETURNTOGAME,กลับไป ที่เกม
OPTIONPANEL_GENERAL,ทั่วไป
OPTIONPANEL_KEYBOARD,ปุ่มพิมพ์
OPTIONPANEL_KEYBOARD_MOVE,การย้าย:
OPTIONPANEL_KEYBOARD_MOVE_CONTENT,Adsw（หรือ←→↓↑）
